epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29532,2.03131,4.308,1.87338,0.0006,0.01786,0.00039,0.00012,2.81564,4.90561,2.20236,0,0,0
2,5.65581,2.96929,4.53239,2.06596,0.00061,0.01786,0.00039,0.00012,2.73554,4.93495,2.13582,1.23763e-05,1.23763e-05,1.23763e-05
3,6.87621,2.27117,4.42716,1.87573,0.00063,0.01786,0.00041,0.0002,2.58918,4.83345,2.03745,2.4505e-05,2.4505e-05,2.4505e-05
4,8.07641,1.75162,4.3383,1.66255,0.00066,0.01786,0.00066,0.00033,2.28211,4.7103,1.8615,3.63862e-05,3.63862e-05,3.63862e-05
5,9.24203,2.39727,4.44332,1.96172,0.00069,0.01786,0.00407,0.00105,2.11438,4.70403,1.78083,4.802e-05,4.802e-05,4.802e-05
6,10.3423,1.90868,4.28588,1.65407,0.00076,0.01786,0.0191,0.00392,2.00092,4.55812,1.69232,5.94062e-05,5.94062e-05,5.94062e-05
7,11.4186,2.39249,4.20941,1.87818,0.00169,0.03571,0.01959,0.00763,1.8315,4.4661,1.57223,7.0545e-05,7.0545e-05,7.0545e-05
8,12.4872,1.60748,3.97578,1.53871,0.00285,0.05357,0.02044,0.01417,1.56061,4.3855,1.43637,8.14362e-05,8.14362e-05,8.14362e-05
9,13.6557,1.80463,4.1603,1.49587,0.00346,0.05357,0.02562,0.02447,1.52479,4.36069,1.38897,9.208e-05,9.208e-05,9.208e-05
10,14.7238,2.29176,4.29771,1.73846,0.00385,0.05357,0.03192,0.03029,1.59528,4.33376,1.38898,0.000102476,0.000102476,0.000102476
11,15.8743,1.75132,3.67906,1.42983,0.00683,0.08929,0.03939,0.03346,1.56666,4.22614,1.34515,0.000112625,0.000112625,0.000112625
12,16.9444,2.09355,3.92181,1.3634,0.0102,0.10714,0.04599,0.03615,1.43786,4.10164,1.25624,0.000122526,0.000122526,0.000122526
13,18.0598,1.53428,3.58927,1.26121,0.01154,0.10714,0.04785,0.03844,1.42555,4.07932,1.22495,0.00013218,0.00013218,0.00013218
14,19.2336,1.36981,3.32359,1.25895,0.01316,0.10714,0.05649,0.03965,1.45072,4.04618,1.24304,0.000141586,0.000141586,0.000141586
15,20.3198,2.11431,3.66663,1.52824,0.0125,0.10714,0.05626,0.03962,1.51649,4.01859,1.26547,0.000150745,0.000150745,0.000150745
16,21.4495,1.60743,3.01509,1.29635,0.0123,0.10714,0.06477,0.04077,1.5803,4.03965,1.29622,0.000159656,0.000159656,0.000159656
17,22.8099,1.83149,3.66631,1.50088,0.01154,0.10714,0.06195,0.03293,1.61678,4.0595,1.32754,0.00016832,0.00016832,0.00016832
18,23.9611,1.44461,3.0482,1.18595,0.01154,0.10714,0.06195,0.03293,1.61678,4.0595,1.32754,0.000176736,0.000176736,0.000176736
19,25.2095,1.42993,2.45454,1.16609,0.00862,0.08929,0.05717,0.03064,1.50137,3.99648,1.31166,0.000184905,0.000184905,0.000184905
20,26.5718,1.75319,2.75364,1.26516,0.00862,0.08929,0.05717,0.03064,1.50137,3.99648,1.31166,0.000192826,0.000192826,0.000192826
21,27.7461,1.52328,2.64244,1.21782,0.00893,0.08929,0.05309,0.03132,1.43553,3.98358,1.29345,0.0002005,0.0002005,0.0002005
22,28.9177,1.45127,2.29714,1.18563,0.00893,0.08929,0.05309,0.03132,1.43553,3.98358,1.29345,0.000207926,0.000207926,0.000207926
23,30.2347,1.54416,2.44161,1.23784,0.0085,0.08929,0.05917,0.03804,1.45627,3.96521,1.28686,0.000215105,0.000215105,0.000215105
24,31.3568,1.26943,2.19432,1.12229,0.0085,0.08929,0.05917,0.03804,1.45627,3.96521,1.28686,0.000222036,0.000222036,0.000222036
25,32.5868,1.87272,2.95277,1.24705,0.01154,0.10714,0.06239,0.04456,1.41991,3.95955,1.26031,0.00022872,0.00022872,0.00022872
26,33.6907,1.72801,2.79968,1.26126,0.01154,0.10714,0.06239,0.04456,1.41991,3.95955,1.26031,0.000235156,0.000235156,0.000235156
27,34.9384,1.68696,2.92622,1.24972,0.012,0.10714,0.06578,0.04324,1.36646,3.96193,1.23836,0.000241345,0.000241345,0.000241345
28,36.1244,1.56961,2.75075,1.24019,0.012,0.10714,0.06578,0.04324,1.36646,3.96193,1.23836,0.000247286,0.000247286,0.000247286
29,37.2278,1.62585,2.20218,1.23021,0.01376,0.10714,0.06594,0.0411,1.34943,3.96031,1.20623,0.00025298,0.00025298,0.00025298
